CodaNumber,nClicks,Length,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,CodaName,Unit,WhaleID,Date,Year,UnitName
2,5,1.125,0.287,0.265,0.299,0.274,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
3,5,1.09,0.264,0.253,0.297,0.276,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
4,5,1.09,0.269,0.265,0.271,0.285,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
5,5,1.101,0.273,0.267,0.266,0.295,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
6,5,1.088,0.278,0.27,0.269,0.271,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
7,5,1.138,0.269,0.293,0.287,0.289,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
8,5,1.1300000000000001,0.279,0.277,0.28,0.294,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
9,5,1.1320000000000001,0.284,0.278,0.28,0.29,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
10,5,1.1320000000000001,0.297,0.277,0.275,0.283,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
12,4,0.20800000000000002,0.063,0.062,0.083,0.0,0.0,0.0,0.0,0.0,0.0,4R1,1,0,2008-03-25,2008,Unit A
13,5,0.33899999999999997,0.09,0.077,0.076,0.096,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2008-03-25,2008,Unit A
14,5,0.29500000000000004,0.062,0.084,0.063,0.086,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2008-03-25,2008,Unit A
15,5,0.27,0.062,0.063,0.062,0.083,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2008-03-25,2008,Unit A
17,6,0.359,0.073,0.072,0.063,0.065,0.086,0.0,0.0,0.0,0.0,6D,1,0,2008-03-25,2008,Unit A
19,6,0.347,0.07,0.058,0.062,0.067,0.09,0.0,0.0,0.0,0.0,6D,1,0,2008-03-25,2008,Unit A
20,6,0.385,0.064,0.066,0.079,0.076,0.1,0.0,0.0,0.0,0.0,6D,1,0,2008-03-25,2008,Unit A
22,6,0.35600000000000004,0.08,0.073,0.062,0.064,0.077,0.0,0.0,0.0,0.0,6D,1,0,2008-03-25,2008,Unit A
24,7,0.392,0.05,0.058,0.063,0.06,0.063,0.098,0.0,0.0,0.0,7I,1,0,2008-03-25,2008,Unit A
26,7,0.9540000000000001,0.224,0.202,0.138,0.118,0.117,0.155,0.0,0.0,0.0,7D,1,0,2008-03-25,2008,Unit A
27,7,0.907,0.215,0.189,0.142,0.11,0.118,0.133,0.0,0.0,0.0,7D,1,0,2008-03-25,2008,Unit A
28,7,0.9249999999999999,0.238,0.177,0.124,0.137,0.106,0.143,0.0,0.0,0.0,7D,1,0,2008-03-25,2008,Unit A
30,7,0.975,0.251,0.217,0.125,0.127,0.107,0.148,0.0,0.0,0.0,7D,1,0,2008-03-25,2008,Unit A
31,7,0.972,0.247,0.222,0.123,0.097,0.116,0.167,0.0,0.0,0.0,7D,1,0,2008-03-25,2008,Unit A
32,7,0.343,0.046,0.056,0.056,0.055,0.058,0.072,0.0,0.0,0.0,7I,1,0,2008-03-25,2008,Unit A
33,7,0.337,0.042,0.057,0.056,0.058,0.056,0.068,0.0,0.0,0.0,7I,1,0,2008-03-25,2008,Unit A
34,7,0.357,0.066,0.058,0.054,0.059,0.056,0.064,0.0,0.0,0.0,7I,1,0,2008-03-25,2008,Unit A
35,7,0.364,0.06,0.065,0.056,0.051,0.049,0.083,0.0,0.0,0.0,7I,1,0,2008-03-25,2008,Unit A
36,8,0.868,0.188,0.133,0.117,0.105,0.097,0.1,0.128,0.0,0.0,8D,1,0,2008-03-25,2008,Unit A
37,8,0.367,0.044,0.05,0.051,0.051,0.048,0.055,0.068,0.0,0.0,8I,1,0,2008-03-25,2008,Unit A
38,8,1.061,0.246,0.183,0.131,0.096,0.101,0.122,0.182,0.0,0.0,8D,1,0,2008-03-25,2008,Unit A
39,9,0.962,0.163,0.149,0.115,0.092,0.099,0.105,0.101,0.138,0.0,9D,1,0,2008-03-25,2008,Unit A
40,9,1.079,0.168,0.187,0.118,0.09,0.107,0.113,0.096,0.2,0.0,9D,1,0,2008-03-25,2008,Unit A
41,5,0.326,0.097,0.071,0.076,0.082,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2008-03-25,2008,Unit A
42,6,0.352,0.067,0.067,0.072,0.06,0.086,0.0,0.0,0.0,0.0,6D,1,0,2008-03-25,2008,Unit A
43,4,0.8819999999999999,0.303,0.288,0.291,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
44,4,0.8819999999999999,0.302,0.287,0.293,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
45,4,1.0230000000000001,0.339,0.35,0.334,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
46,4,1.012,0.345,0.326,0.341,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
47,4,1.0539999999999998,0.363,0.344,0.347,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
48,4,1.069,0.365,0.352,0.352,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
49,4,1.076,0.366,0.358,0.352,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
50,4,1.076,0.364,0.351,0.361,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
51,4,1.077,0.366,0.36,0.351,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
52,4,1.107,0.345,0.377,0.385,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
53,4,0.877,0.287,0.291,0.299,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
54,4,1.053,0.366,0.342,0.345,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
55,4,1.089,0.367,0.355,0.367,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
56,5,0.8600000000000001,0.288,0.262,0.17,0.14,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
57,5,0.982,0.322,0.319,0.196,0.145,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
58,5,0.782,0.225,0.271,0.142,0.144,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
59,5,0.8490000000000001,0.263,0.276,0.158,0.152,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
60,5,0.8899999999999999,0.288,0.259,0.202,0.141,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
61,5,0.9890000000000001,0.298,0.351,0.201,0.139,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
62,5,0.9790000000000001,0.34,0.309,0.165,0.165,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
63,5,0.8400000000000001,0.27,0.269,0.171,0.13,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
64,5,0.9860000000000001,0.374,0.297,0.156,0.159,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
65,5,0.8460000000000001,0.279,0.263,0.166,0.138,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
66,5,0.972,0.317,0.309,0.181,0.165,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
67,5,1.0,0.317,0.321,0.198,0.164,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
68,5,0.9989999999999999,0.333,0.288,0.18,0.198,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
69,5,0.917,0.28,0.315,0.161,0.161,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
70,5,0.8160000000000001,0.258,0.27,0.148,0.14,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
71,5,0.8620000000000001,0.269,0.265,0.181,0.147,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
72,5,0.809,0.251,0.28,0.15,0.128,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
73,5,0.8190000000000001,0.191,0.292,0.182,0.154,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
